Player,PassesCompleted,PassesAttempted
Jurriën Timber,222,279
Jean-Clair Todibo,253,283
Harry Toffolo,22,30
Umut Tohumcu,91,106
Corentin Tolisso,315,375
Rafael Tolói,12,14
Tiago Tomás,104,165
Takehiro Tomiyasu,3,4
Fikayo Tomori,392,420
Sandro Tonali,122,161
Pablo Torre,101,125
David Torres,302,353
Ferrán Torres,77,102
,,
Pau Torres,562,650
Lucas Torró,365,504
Abdoulaye Touré,298,368
Birama Touré,102,123
Ousmane Toure,4,6
Souleymane Touré,308,335
Lucas Tousart,17,30
Conor Townsend,0,0
Adama Traoré,178,245
Hamari Traoré,156,196
Omar Traoré,284,415
Kevin Trapp,204,271
Mark Travers,51,72
Óscar Trejo,73,89
Philipp Treu,334,411
Ryan Trevitt,4,7
Christopher Trimmel,163,256
Kieran Trippier,198,246
Leandro Trossard,133,183
Adrien Truffert,337,446
Kostas Tsimikas,180,209
Viktor Tsyhankov,166,217
Axel Tuanzebe,212,258
Stefano Turati,220,315
Beñat Turrientes,184,215
,,
Tuta,458,506
Chrisantus Uche,152,222
Destiny Udogie,487,558
Manuel Ugarte Ribeiro,119,133
Lesley Ugochukwu,62,75
Lukas Ullrich,45,66
Sven Ulreich,25,30
Enes Ünal,22,37
Deniz Undav,150,208
Naci Ünüvar,13,18
Dayot Upamecano,953,1022
Kacper Urbanski,97,116
Can Uzun,33,39
Josha Vagnoman,265,317
Óscar Valentín,299,370
Germán Valera,8,12
Emanuele Valeri,197,297
Martin Valjent,341,391
Jesús Vallejo,12,14
Mattia Valoti,12,18
Federico Valverde,670,748
Ignace Van Der Brempt,209,250
Virgil van Dijk,844,924
Vanderson,295,380
Maarten Vandevoordt,15,17
,,
Jamie Vardy,72,115
Ruben Vargas,97,118
Nikola Vasilj,308,430
Devis Vásquez,223,397
Johan Vásquez,436,528
Denis Vavro,267,320
José Luis García Vayá,449,588
Jesus Vazquez,206,274
Lucas Vázquez,298,347
Matías Vecino,170,205
Renato Veiga,111,130
Alejo Véliz,70,98
Miloš Veljković,149,170
Joël Veltman,378,476
Micky van de Ven,560,607
Nikolas Veratschnig,2,3
Bart Verbruggen,290,357
Simone Verdi,14,28
Jordan Veretout,288,351
Arthur Vermeeren,245,289
Yorbe Vertessen,89,136
Mikel Vesga,161,197
Jannik Vestergaard,203,224
Ben Viadere,2,6
Guglielmo Vicario,370,403
,,
Carlos Vicente,210,320
Pau Victor Delgado,53,67
Nacho Vidal,35,44
Gabriel Vidovic,6,6
Samuele Vignato,54,74
Asier Villalibre,27,39
Iván Villar,95,117
Nicolas Viola,97,157
Viti,263,324
Mattia Viti,390,470
Vitinha,56,96
Vitinha,618,675
Daniel Vivian,520,594
Dušan Vlahović,108,157
Vanja Vlahović,1,3
Nikola Vlašić,101,131
Alessandro Vogliacco,223,280
Kevin Vogt,443,514
Mërgim Vojvoda,350,415
Aster Vranckx,30,35
Stefan de Vrij,312,332
Ibrahima Wadji,8,10
Robert Wagner,90,120
Elye Wahi,76,97
Hauke Wahl,416,495
,,
Kyle Walker,379,430
Kyle Walker-Peters,533,587
Christian Walton,33,42
Sebastian Walukiewicz,285,339
Sebastian Walukiewicz,48,62
Aaron Wan-Bissaka,343,427
Paul Wanner,192,269
James Ward-Prowse,11,15
James Ward-Prowse,114,145
Kjell-Arik Wätjen,0,0
Ollie Watkins,81,109
Timothy Weah,145,175
Adam Webster,69,78
Julian Weigl,512,580
Timon Weiner,253,387
Nelson Weiper,10,17
Mitchell Weiser,290,392
Noah Weißhaupt,37,50
Danny Welbeck,175,213
Timo Werner,88,135
Adam Wharton,285,362
Ben White,294,352
Silvan Widmer,57,77
Mats Wieffer,148,178
Mateusz Wieteska,54,61
,,
Caleb Wiley,80,104
Iñaki Williams,174,277
Neco Williams,105,149
Nico Williams,204,287
Joe Willock,98,122
Harry Wilson,36,47
Patrick Wimmer,52,87
Jonas Wind,91,130
Harry Winks,480,555
Florian Wirtz,556,685
Yoane Wissa,112,139
Dani de Wit,153,204
Axel Witsel,304,339
Maximilian Wittek,325,475
Marius Wolf,203,299
Nick Woltemade,21,31
Jeong Woo-yeong,169,215
Chris Wood,103,156
Christopher Wooh,450,513
Luke Woolfenden,190,216
Granit Xhaka,847,941
Lamine Yamal,355,460
Yehor Yarmoliuk,86,107
Ryan Yates,300,358
John Yeboah,50,65
,,
Bertuğ Yıldırım,53,96
Kenan Yıldız,285,345
Ashley Young,326,446
Etienne Youte Kinkoue,255,287
Illia Zabarnyi,446,532
Mattia Zaccagni,213,295
Dan-Axel Zagadou,9,9
Yoram Zague,106,115
Wilfried Zaha,26,30
Warren Zaïre-Emery,513,556
Miha Zajc,72,88
Denis Zakaria,348,387
Nicola Zalewski,180,244
Andre-Frank Zambo Anguissa,534,616
Francesco Zampano,251,330
Nicolò Zaniolo,43,52
Alessandro Zanoli,111,154
Duván Zapata,87,126
Gabriele Zappa,479,603
Davide Zappacosta,310,367
Bryan Zaragoza,138,228
Anass Zaroury,90,158
Oier Zarraga,116,139
Jordan Zemura,159,209
Robin Zentner,244,364
,,
Alessio Zerbin,0,0
Kevin Zeroli,9,9
Cedric Zesiger,188,236
Michael Zetterer,313,391
Nathan Zeze,322,368
Edon Zhegrova,249,329
Piotr Zieliński,205,235
Oleksandr Zinchenko,79,98
Joshua Zirkzee,94,127
Luc Zogbé,96,124
Nadir Zortea,140,206
Aristide Zossou,6,6
Yanis Zouaoui,70,96
Igor Zubeldia,585,675
Martín Zubimendi,617,716
Martin Ødegaard,115,144
Milan Đurić,83,172
Mohamed Meité,,
