Player,PassesCompleted,PassesAttempted
Robin Gosens,399,510
,,
Robin Gosens,23,42
Mario Götze,153,193
Amine Gouiri,164,215
Jeffrey Gouweleeuw,399,485
Kamil Grabara,252,409
Jonathan Gradit,371,453
José Gragera,190,217
Samuel Grandsir,8,14
Alberto Grassi,171,214
Ryan Gravenberch,587,662
Archie Gray,49,56
Jack Grealish,172,202
Jacob Greaves,277,312
Mason Greenwood,355,460
Michael Gregoritsch,21,30
Dominik Greif,204,286
Antoine Griezmann,399,558
Vincenzo Grifo,448,566
Florian Grillitsch,361,417
Álex Grimaldo,606,741
Pascal Groß,620,756
Brajan Gruda,17,22
Marco Grüll,72,90
Albert Grønbaek,111,178
Vicente Guaita,197,241
,,
Sergi Guardiola,15,25
Nemanja Gudelj,413,489
Gabriel Gudmundsson,268,336
Gonçalo Guedes,28,42
Axel Gueguin,5,6
Marc Guéhi,513,603
Mattéo Guendouzi,543,612
Javier Guerra,135,189
Raphaël Guerreiro,485,554
Evann Guessand,140,188
Ander Guevara,275,358
Pape Gueye,250,321
Morgan Guilavogui,107,164
Frederic Guilbert,223,301
Luis Guilherme,2,4
Hugo Guillamón,120,152
Bruno Guimarães,450,549
Bahereba Guirassy,14,22
Serhou Guirassy,120,159
Marc Guiu,3,4
Péter Gulácsi,238,280
Arda Güler,133,157
Gerard Gumbau,111,162
İlkay Gündoğan,391,453
Christian Günter,381,492
,,
Jon Guridi,208,260
Gorka Guruzeta,118,155
Malo Gusto,376,447
Miguel Gutiérrez,545,648
Albert Guðmundsson,54,71
Joško Gvardiol,774,834
Emmanuel Gyasi,289,380
Christian Gytkjær,25,46
Erling Haaland,71,110
Nicolas Haas,99,121
Janik Haberer,144,205
Robin Hack,162,216
Saad El Haddad,9,12
Munir El Haddadi,60,88
Amadou Haidara,340,425
Massadio Haïdara,121,154
Antoine Hainaut,135,178
Mohamed Haj,26,34
Achraf Hakimi,652,729
Lewis Hall,501,620
Sébastien Haller,51,86
Ali Al Hamadi,3,4
Andreas Hanche-Olsen,85,107
Florent Hanin,352,464
Ridgeciano Haps,194,246
,,
Amine Harit,188,225
Marcus Harness,10,16
Phil Harres,16,30
Jack Harrison,119,177
Abdou Harroui,74,97
Taylor Harwood-Bellis,686,770
Hans Hateboer,247,322
Kai Havertz,190,253
Jan Paul van Hecke,588,639
Hwang Hee-chan,52,64
Dean Henderson,212,333
Liam Henderson,220,286
Ramon Hendriks,42,58
